Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
1/2/15,transport,transport,2015-02-01T06:22:11+05:30,2015-02-01T06:38:51+05:30,1000,6.913,0,0
1/2/15,walking,walking,2015-02-01T12:16:23+05:30,2015-02-01T12:23:43+05:30,440,0.291,626,24
1/2/15,walking,walking,2015-02-01T12:30:00+05:30,2015-02-01T12:39:30+05:30,570,0.423,907,35
1/2/15,walking,walking,2015-02-01T16:18:30+05:30,2015-02-01T16:19:30+05:30,60,0.035,111,3
2/2/15,walking,walking,2015-02-02T10:00:35+05:30,2015-02-02T10:07:34+05:30,419,0.270,548,22
2/2/15,walking,walking,2015-02-02T10:08:18+05:30,2015-02-02T10:08:48+05:30,30,0.012,40,1
2/2/15,walking,walking,2015-02-02T10:11:14+05:30,2015-02-02T10:18:26+05:30,432,0.283,661,23
2/2/15,walking,walking,2015-02-02T10:19:55+05:30,2015-02-02T10:20:25+05:30,30,0.012,40,1
2/2/15,walking,walking,2015-02-02T10:43:56+05:30,2015-02-02T10:44:56+05:30,60,0.032,101,3
2/2/15,walking,walking,2015-02-02T14:30:32+05:30,2015-02-02T14:38:27+05:30,475,0.345,819,29
2/2/15,walking,walking,2015-02-02T14:43:26+05:30,2015-02-02T14:43:56+05:30,30,0.012,40,1
2/2/15,walking,walking,2015-02-02T14:50:27+05:30,2015-02-02T14:55:08+05:30,281,0.242,325,20
2/2/15,walking,walking,2015-02-02T16:48:41+05:30,2015-02-02T17:17:18+05:30,1717,1.661,2228,137
2/2/15,transport,transport,2015-02-02T17:17:18+05:30,2015-02-02T17:26:35+05:30,557,0.497,0,0
2/2/15,walking,walking,2015-02-02T17:26:49+05:30,2015-02-02T17:27:19+05:30,30,0.009,30,1
2/2/15,walking,walking,2015-02-02T20:34:12+05:30,2015-02-02T20:35:12+05:30,60,0.025,81,2
2/2/15,transport,transport,2015-02-02T20:40:40+05:30,2015-02-02T20:47:26+05:30,406,0.297,0,0
2/2/15,walking,walking,2015-02-02T20:47:26+05:30,2015-02-02T21:01:49+05:30,863,0.606,933,50
3/2/15,walking,walking,2015-02-03T11:13:40+05:30,2015-02-03T11:19:17+05:30,337,0.319,655,26
3/2/15,walking,walking,2015-02-03T11:19:17+05:30,2015-02-03T11:21:22+05:30,125,0.039,118,3
3/2/15,walking,walking,2015-02-03T12:13:10+05:30,2015-02-03T12:18:49+05:30,339,0.340,670,28
3/2/15,walking,walking,2015-02-03T14:23:06+05:30,2015-02-03T14:32:32+05:30,566,0.425,859,35
3/2/15,transport,transport,2015-02-03T14:32:32+05:30,2015-02-03T14:53:40+05:30,1268,5.706,0,0
3/2/15,walking,walking,2015-02-03T14:53:39+05:30,2015-02-03T14:58:50+05:30,311,0.169,545,14
3/2/15,cycling,cycling,2015-02-03T14:58:50+05:30,2015-02-03T15:08:51+05:30,601,1.934,0,71
3/2/15,walking,walking,2015-02-03T15:09:10+05:30,2015-02-03T15:12:40+05:30,210,0.113,243,9
3/2/15,walking,walking,2015-02-03T18:11:33+05:30,2015-02-03T18:17:15+05:30,342,0.192,358,16
3/2/15,transport,transport,2015-02-03T18:17:15+05:30,2015-02-03T18:36:17+05:30,1142,3.285,0,0
3/2/15,cycling,cycling,2015-02-03T18:36:16+05:30,2015-02-03T18:51:00+05:30,884,4.244,0,151
3/2/15,walking,walking,2015-02-03T18:51:00+05:30,2015-02-03T18:56:34+05:30,334,0.171,272,14
3/2/15,walking,walking,2015-02-03T19:01:53+05:30,2015-02-03T19:02:53+05:30,60,0.035,111,3
3/2/15,transport,transport,2015-02-03T19:04:06+05:30,2015-02-03T19:20:29+05:30,983,1.241,0,0
3/2/15,cycling,cycling,2015-02-03T19:26:28+05:30,2015-02-03T19:32:59+05:30,391,1.017,0,38
3/2/15,walking,walking,2015-02-03T19:33:21+05:30,2015-02-03T19:33:30+05:30,9,0.002,9,0
4/2/15,running,running,2015-02-04T06:20:43+05:30,2015-02-04T06:32:33+05:30,710,0.822,1631,85
4/2/15,walking,walking,2015-02-04T06:32:32+05:30,2015-02-04T06:40:27+05:30,475,0.490,813,41
4/2/15,walking,walking,2015-02-04T10:51:42+05:30,2015-02-04T10:59:03+05:30,441,0.298,297,25
4/2/15,walking,walking,2015-02-04T11:02:04+05:30,2015-02-04T11:05:10+05:30,186,0.106,339,9
4/2/15,walking,walking,2015-02-04T11:21:30+05:30,2015-02-04T11:29:09+05:30,459,0.486,743,40
4/2/15,walking,walking,2015-02-04T11:30:02+05:30,2015-02-04T11:30:32+05:30,30,0.012,40,1
4/2/15,transport,transport,2015-02-04T16:24:08+05:30,2015-02-04T16:44:40+05:30,1232,2.657,0,0
4/2/15,walking,walking,2015-02-04T16:44:39+05:30,2015-02-04T16:49:57+05:30,318,0.275,477,23
4/2/15,walking,walking,2015-02-04T16:57:46+05:30,2015-02-04T16:58:16+05:30,30,0.016,51,1
4/2/15,transport,transport,2015-02-04T20:00:52+05:30,2015-02-04T20:23:06+05:30,1334,2.868,0,0
4/2/15,walking,walking,2015-02-04T20:23:06+05:30,2015-02-04T20:33:07+05:30,601,0.460,932,38
5/2/15,running,running,2015-02-05T07:06:08+05:30,2015-02-05T07:20:14+05:30,846,1.230,2059,125
5/2/15,walking,walking,2015-02-05T07:20:14+05:30,2015-02-05T07:28:34+05:30,500,0.405,814,34
5/2/15,walking,walking,2015-02-05T07:52:20+05:30,2015-02-05T07:56:33+05:30,253,0.255,342,21
5/2/15,walking,walking,2015-02-05T09:35:28+05:30,2015-02-05T09:44:57+05:30,569,0.327,886,27
5/2/15,walking,walking,2015-02-05T09:45:21+05:30,2015-02-05T09:45:51+05:30,30,0.016,51,1
5/2/15,walking,walking,2015-02-05T09:58:38+05:30,2015-02-05T10:07:31+05:30,533,0.354,884,29
